Company,# of hits,Owner,Class,Webpage
smiths-medical.com,54800,Aman,Error: Related product,https://www.smiths-medical.com/products/veterinary/ventilators
hill-rom.com,17700,Aman,Correct,https://respiratorycare.hill-rom.com/en/patients/products/
zoll.com,12400,Aman,Correct,https://www.zoll.com/products/ventilators
venteclife.com,10700,Aman,Correct,https://www.venteclife.com/page/resources
cpapusa.com,8590,Aman,Correct,https://www.cpapusa.com/refurbished-ventilators.html
laerdal.com,8270,Aman,Error: Related product,https://www.laerdal.com/us/products/tech/ASL5000LungSolution/
mms.mckesson.com,7910,Aman,Correct,https://mms.mckesson.com/product/883949/Allied-Healthcare-AHP300
selectmedical.com,5680,James,Error: Related product,https://www.selectmedical.com/critical-illness-recovery-hospitals/pulmonary-and-ventilator-weaning/
molinahealthcare.com,5630,James,Error: Related product,http://www.molinahealthcare.com/providers/wa/medicaid/resource/PDF/MCG-275-Noninvasive-Positive-Pressure-Ventilation.pdf
passy-muir.com,5560,James,Error: Related product,https://www.passy-muir.com/vent_adjust/
medicalmega.com,4360,James,Error: Related product,https://www.medicalmega.com/product/adaptor-ventilator-each
carefusion.com,4100,James,Correct,http://pages.carefusion.com/rs/565-YXD-236/images/RC_AVEA-Modes-Guide_UG_EN.pdf
iiimedical.com,2820,James,Correct,https://iiimedical.com/product-category/ventilator-circuits/
triumphmed.com,2210,Cass,Correct,https://triumphmed.com/product-category/medical-equipment/ventilators/
sageproducts.com,1780,Cass,Correct,https://sageproducts.com/wp-content/uploads/20303C_Oral_care_of_the_mechanically_ventilated_patient_you_can_make_a_difference_in_five_minutes_poster.pdf
medcompnet.com,1130,Cass,Correct,http://medcompnet.com/products/ifu_pages/IFUs/CVC/40212___I__10-2-15_Pro-Line_INTL.pdf
mfimedical.com,1040,Cass,Correct,https://mfimedical.com/collections/ventilators
averybiomedical.com,954,Cass,Error: Related product,https://www.averybiomedical.com/understanding-mechanical-ventilation-quadriplegia/
integrisequipment.com,666,Cass,Correct,https://www.integrisequipment.com/Ventilators_s/1860.htm
teleflexsurgicalcatalog.com,588,Cass,Error: Related product,http://www.teleflexsurgicalcatalog.com/anesthesia-respiratory/respiratory/category/ventilator-accessories
bunl.com,552,Cass,Correct,https://www.bunl.com/
quadmed.com,210,Cass,Error: Related product,https://www.quadmed.com/products/breathing/emergency-transport-ventilators
unipower.com,193,Cass,Error: Related product,https://unipower.com/products/medical/impact-medical-corp/750-uni-vent-ventilator
cigna.com,182,Cass,Error: Related product,https://cignaforhcp.cigna.com/public/content/pdf/coveragePolicies/medical/mm_0546_coveragepositioncriteria_home_ventilators.pdf
georgephilips.com,164,Cass,Correct,http://georgephilips.com/categoryphp/7/respiratory-ventilator-products.html
braintreesci.com,157,Cass,Correct,https://www.braintreesci.com/products.asp?dept=76
heartlandmedical.com,155,Cass,Correct,https://www.heartlandmedical.com/medical-equipment/respiratory-ventilators/
hcsgi.com,136,Cass,Correct,https://www.hcsgi.com/respiratory-assist-devices/ventilator-category
incav.com,133,Surabhi,Correct,https://www.incav.com/products/ventilators20
aironusa.com,118,Surabhi,Correct,https://aironusa.com/products/ventilation/pneuton-model-a-ventilator/
event-medical.com,116,Surabhi,Correct,https://event-medical.com/products
invacare.com,116,Surabhi,Error: Related product,http://www.invacare.com/parts/assembly/24167.pdf
teleflex.com,111,Surabhi,Error: Related product,https://www.teleflex.com/usa/en/product-areas/respiratory/passive-humidification-and-filtration/bacterial-viral-filters/index.html
medicaleshop.com,99,Surabhi,Error: Unrelated product,https://www.medicaleshop.com/kid-kart-xpress-tilt-stroller.html
atcmedical.com,83,Surabhi,Error: Related product,https://www.atcmedical.com/Respiratory/Ventilator_Care_Supplies/CAREFUSION_ADULT_SINGLELIMB_PORTABLE_VENTILATOR_CIRCUIT_INCLUDES_6_PATIENT_TUBE_AND_TRACH_ELBOW_ADAPTER_60_AIR_TUBE_70_PRESSURE_SENSING_LINE_AND_TIP_ADAPTER/product.aspx
medeqipexp.com,79,Surabhi,Correct,https://es.medeqipexp.com/producto/ge-aestiva-5/
gcx.com,57,Surabhi,Error: Related product,https://www.gcx.com/services/oem/portfolio/philips-respironics-v60-ventilator-cart
ccrmed.com,53,Surabhi,Error: Related product,https://ccrmed.com/product/jet-ventilation-catheter-for-emergency-ventilation/
fobi.us,49,Surabhi,Correct,https://fobi.us/product-tag/ventilator/
carefusion.de,48,Surabhi,Error: Related product,http://www.carefusion.de/documents/international/articles/respiratory-care/airlife-products/RC_AirLife-High-Flow-Nebulizer-Adapter-and-Pegasus-Nebulizer-Heater_JA_EN.pdf
wirelessnursecall.com,46,Surabhi,Error: Related product,https://www.wirelessnursecall.com/products/ventilator-alarm
westmedinc.com,46,Surabhi,Error: Related product,https://westmedinc.com/neo-pod-t/
alphasource.com,43,Surabhi,Correct,https://netlink.alphasource.com/__prod/browse.cfm?&mfgltr=n&mfg=NEWPORT%20MEDICAL&category=medical%20batteries
onstaffusa.com,42,Surabhi,Error: Related product,https://onstaffusa.com/career-opportunities/parker-hannifin-14-hr-ventilator-part-assembly-start-work-monday/
michiganinstruments.com,42,Surabhi,Error: Related product,https://www.michiganinstruments.com/lung-simulators/adult-test-lung-simulators/
martab.com,40,Surabhi,Correct,https://martab.com/product/tv-100-ventilator/
angelmedicalsupply.com,40,Surabhi,Correct,https://www.angelmedicalsupply.com/products/ventilators
wemed1.com,39,Surabhi,Error: Related product,http://www.wemed1.com/downloads/dl/file/id/6501/product/3442/manual_for_vent_fp_mr850.pdf
advimg.com,37,Surabhi,Correct,http://www.advimg.com/product/neonatal-transportmri-ventilator/
acbio.com,35,Rachael,Error: Related product,https://acbio.com/
mpe-inc.com,34,Rachael,Error: Related product,https://mpe-inc.com/mpe-ventilator-device-cart/
jdmedical.com,31,Rachael,Correct,http://jdmedical.com/veterinary-anesthesia-machines-products/ventilators-anesthesia-machines/lav-3000-large-animal-ventilator/
colonialmed.com,27,Rachael,Error: Related product,http://www.colonialmed.com/p-9558-ultraset-mechanical-ventilation-double-swivel-elbow.aspx
beevers.net,27,Rachael,Error: Related product,http://www.beevers.net/Tilson-Trach-Guard-for-you
wellcare.com,26,Rachael,Error: Related product,https://www.wellcare.com/Kentucky/Providers/Clinical-Guidelines/CCGs/CCG-List
midmark.com,26,Rachael,Error: Related product,https://www.midmark.com/animal-health/products/anesthesia/small-animal-anesthesia-ventilator-model-3000
henryschein.com,23,Rachael,Error: Related product,https://www.henryschein.com/assets/Medical/2430042.pdf
health.howstuffworks.com,22,Rachael,Error: Related product,https://health.howstuffworks.com/medicine/modern-technology/ventilators.htm
shopmedvet.com,22,Rachael,Error: Related product,https://www.shopmedvet.com/category/anesthesia-respiratory-equipment
ocelco.com,21,Rachael,Correct,https://www.ocelco.com/store/pc/MRI-Non-Magnetic-ventiPac-with-Integrated-Alarms-p13168.htm
medicalsupplygroup.com,21,Rachael,Error: Related product,https://medicalsupplygroup.com/p-18300-ultrasetreg-mechanical-ventilation-double-swivel-elbow.aspx
